time	input_value	encoder
133.6	162.92	135308
133.8	163.92	135785
134	164.92	136260
134.2	165.92	136735
134.4	166.92	137212
134.6	167.92	137692
134.8	168.92	138170
135	169.92	138647
135.2	170.92	139125
135.4	171.91	139605
135.6	172.91	140085
135.8	173.91	140564
136	174.91	141045
136.2	175.91	141526
136.4	176.91	142009
136.6	177.91	142491
136.8	178.91	142974
137	179.91	143458
137.2	180.91	143944
137.4	181.91	144428
137.6	182.91	144914
137.8	183.91	145403
138	184.91	145890
138.2	185.91	146378
138.4	186.91	146866
138.6	187.91	147354
138.8	188.91	147844
139	189.9	148333
139.2	190.9	148824
139.4	191.9	149315
139.6	192.9	149805
139.8	193.9	150297
140	194.9	150791
140.2	195.9	151284
140.4	196.9	151777
140.6	197.9	152272
140.8	198.9	152769
141	199.9	153262
141.2	200.9	153756
141.4	201.9	154254
141.6	202.9	154750
141.8	203.9	155247
142	204.9	155746
142.2	205.9	156245
142.4	206.9	156741
142.6	207.9	157240
142.8	208.89	157738
143	209.89	158237
143.2	210.89	158737
143.4	211.89	159238
143.6	212.89	159739
143.8	213.89	160241
144	214.89	160742
144.2	215.89	161241
144.4	216.89	161743
144.6	217.89	162244
144.8	218.89	162745
145	219.89	163252
145.2	220.89	163755
145.4	221.89	164258
145.6	222.89	164760
145.8	223.89	165264
146	224.89	165773
146.2	225.89	166278
146.4	226.88	166788
146.6	227.88	167298
146.8	228.88	167804
147	229.88	168310
147.2	230.88	168817
147.4	231.88	169324
147.6	232.88	169832
147.8	233.88	170341
148	234.88	170850
148.2	235.88	171359
148.4	236.88	171866
148.6	237.88	172373
148.8	238.88	172881
149	239.88	173390
149.2	240.88	173900
149.4	241.88	174409
149.6	242.88	174923
149.8	243.88	175435
150	244.87	175947
150.2	245.87	176460
150.4	246.87	176973
150.6	247.87	177487
150.8	248.87	177999
151	249.87	178511
151.2	250.87	179023
151.4	251.87	179535
151.6	252.87	180050
151.8	253.87	180566
152	254.87	181087
152.2	0.86	181575
152.4	1.86	181975
152.6	2.86	182296
152.8	3.86	182545
153	4.86	182731
153.2	5.86	182862
153.4	6.86	182942
153.6	7.86	182978
153.8	8.86	182982
154	9.86	182982
154.2	10.86	182982
154.4	11.86	182982
154.6	12.86	182982
154.8	13.86	182982
